session,expected_start,actual_start,expected_duration,actual_duration
HOL-Metis_Examples,1769.059,1842.01,19.016,18.977
HOL-MicroJava,1667.25,1725.266,59.85,52.465
HOL-Mirabelle-ex,1772.696,1982.007,1.808,1.324
HOL-Mutabelle,1773.975,1930.714,1.602,1.542
HOL-NanoJava,1772.086,2018.919,3.721,3.28
HOL-Nitpick_Examples,1755.764,1966.629,26.178,15.204
HOL-Nominal,1012.984,889.53,19.124,18.653
HOL-Nominal-Examples,1235.18,1231.616,456.06,383.776
HOL-Nonstandard_Analysis,1751.338,1817.341,9.743,9.947
HOL-Nonstandard_Analysis-Examples,1772.544,2013.319,1.821,2.077
HOL-Number_Theory,620.95,571.741,92.108,150.375
HOL-ODE-ARCH-COMP,813.111,808.745,404.035,510.351
HOL-ODE-Examples,1031.523,1065.701,238.246,287.297
HOL-ODE-Numerics,446.176,452.583,366.935,348.882
HOL-Predicate_Compile_Examples,1674.072,1900.951,41.377,34.104
HOL-Probability,376.418,384.283,32.196,33.542
HOL-Probability-ex,1771.588,1843.078,5.721,6.85
HOL-Prolog,1775.061,2023.116,1.171,0.935
HOL-Proofs,8.245,11.416,468.662,429.693
HOL-Proofs-Extraction,1632.044,1785.106,84.625,96.579
HOL-Proofs-Lambda,1623.623,1896.409,76.674,51.96
HOL-Proofs-ex,1764.845,1835.529,1.818,1.773
HOL-Quickcheck_Examples,1742.601,1810.353,21.348,24.687
HOL-Quotient_Examples,1719.743,1861.784,17.69,23.218
HOL-Real_Asymp,1663.542,1686.098,99.3,105.567
HOL-Real_Asymp-Manual,1769.524,2015.806,1.13,1.139
HOL-SET_Protocol,1749.073,1960.548,20.029,11.412
HOL-SMT_Examples,1720.113,1758.153,31.616,29.307
HOL-SPARK,1706.564,1932.654,21.18,19.925
HOL-SPARK-Examples,1757.988,2000.824,6.779,8.312
HOL-SPARK-Manual,1740.851,1955.461,4.576,1.97
HOL-Statespace,1762.451,1972.766,10.245,8.805
HOL-TLA,1645.967,1689.304,4.466,11.15
HOL-TLA-Buffer,1770.148,1846.637,1.067,1.07
HOL-TLA-Inc,1768.049,1840.479,1.446,1.576
HOL-TLA-Memory,1728.858,1968.063,4.366,3.322
HOL-TPTP,1719.341,1861.798,4.769,4.531
HOL-Types_To_Sets,1766.828,1840.067,11.219,7.399
HOL-UNITY,1747.575,1985.583,20.732,22.069
HOL-Unix,1772.065,2013.327,4.552,3.927
HOL-ZF,1228.125,1336.406,11.891,26.016
HOL-ex,1373.111,1246.474,230.606,260.355
HOLCF,111.36,124.154,16.341,18.646
HOLCF-FOCUS,1755.079,1964.103,2.656,2.434
HOLCF-IMP,1734.138,1972.531,3.973,3.456
HOLCF-Library,1302.314,1517.012,17.986,11.46
HOLCF-Prelude,127.701,143.864,39.981,37.926
HOLCF-Tutorial,1688.839,1918.844,11.003,5.688
HOLCF-ex,1745.054,1811.095,2.307,2.05
HRB-Slicing,923.639,953.657,179.925,171.842
Hahn_Jordan_Decomposition,1599.764,1635.976,9.578,12.362
Hales_Jewett,1633.686,1676.238,12.281,12.002
Haskell,1770.168,1846.646,1.033,1.031
Heard_Of,1570.096,1694.228,18.123,15.048
Hello_World,1723.151,1864.322,3.631,9.837
HereditarilyFinite,1196.13,1282.598,12.104,20.589
Hermite,523.324,555.122,23.802,24.731
Hermite_Lindemann,657.909,710.1,53.861,52.026
Hidden_Markov_Models,1236.336,1470.208,34.607,22.926
Higher_Order_Terms,817.501,871.266,37.65,46.532
HoareForDivergence,1167.131,1256.026,20.125,22.511
Hoare_Time,689.17,640.73,66.925,78.391
Hood_Melville_Queue,1370.622,1396.637,16.957,17.559
HotelKeyCards,1752.199,1905.515,2.321,2.625
How_to_Prove_it,1771.172,1974.851,1.086,1.187
Huffman,1723.985,1789.867,4.715,3.338
Hybrid_Logic,1554.703,1536.311,17.616,19.55
Hybrid_Multi_Lane_Spatial_Logic,1119.467,982.622,39.975,40.343
Hybrid_Systems_VCs,1570.392,1701.936,223.417,175.843
HyperCTL,1674.853,1699.644,4.707,5.343
HyperHoareLogic,1217.146,1319.882,32.429,32.004
Hyperdual,813.111,435.804,69.791,85.231
Hypergraph_Basics,1197.007,1068.391,30.109,34.994
Hypergraph_Colourings,639.47,697.362,65.173,52.859
IEEE_Floating_Point,1365.253,1559.655,35.677,23.336
IFC_Tracking,1522.291,1505.821,18.451,14.881
IMAP-CRDT,1754.44,1983.671,18.335,7.737
IMO2019,1699.793,1724.823,5.242,5.414
IMP2,111.36,121.713,57.511,59.141
IMP2_Binary_Heap,1634.702,1743.815,7.897,11.123
IMP_Compiler,1187.256,1279.554,25.5,27.344
IMP_Compiler_Reuse,1330.559,1436.963,25.47,29.185
IMP_Noninterference,950.895,995.055,53.544,64.126
IOA,1702.999,1770.196,7.734,9.473
IOA-ABP,1736.612,1972.175,5.181,2.685
IOA-NTP,1727.1,1794.32,3.389,3.646
IOA-Storage,1765.086,2009.571,1.484,1.603
IOA-ex,1768.344,1924.0,1.595,2.076
IO_Language_Conformance,1769.939,1926.536,13.568,10.31
IP_Addresses,159.233,174.536,162.526,139.778
Imperative_Insertion_Sort,1747.794,1900.483,2.502,3.373
Implementation,1771.124,1927.686,5.001,4.595
Implicational_Logic,1760.277,1825.438,2.163,2.814
Impossible_Geometry,1734.864,1903.723,5.846,4.383
Incompleteness,1221.494,1305.427,291.519,199.205
Incredible_Proof_Machine,1212.756,1307.267,15.369,28.286
Independence_CH,59.237,52.371,40.763,26.367
Inductive_Confidentiality,1684.268,1711.462,10.508,4.907
Inductive_Inference,790.274,811.651,73.667,69.125
InfPathElimination,813.111,435.818,68.079,76.844
InformationFlowSlicing,1710.733,1780.286,5.7,3.724
InformationFlowSlicing_Inter,1586.493,1601.036,7.214,9.569
Integration,1729.734,1793.384,2.732,2.948
Interpolation_Polynomials_HOL_Algebra,1499.225,1518.966,13.484,12.823
Interpreter_Optimizations,342.69,365.192,73.248,77.386
Interval_Analysis,516.166,388.27,104.784,94.956
Interval_Arithmetic_Word32,163.142,175.66,60.616,65.372
Intro,8.698,11.476,0.224,0.248
Intro_Dest_Elim,1770.713,1843.99,1.368,1.098
Involutions2Squares,1764.142,1837.978,2.686,1.74
Iptables_Semantics,532.708,397.367,131.435,80.25
Iptables_Semantics_Examples,1540.742,1523.7,233.132,285.77
Irrational_Series_Erdos_Straus,1618.925,1649.839,8.056,13.431
Irrationality_J_Hancl,855.151,918.508,69.737,36.325
